;House name;House price;House location;House bed;House description
0;Parkdale 1 Bedroom Apartment for Rent - 96 Jameson Avenue;2,149.00;City of Toronto 30/07/2023;;Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now: (437) 886-5105Virtual Open House: View our units by ...
1;Story of Rideau & Chapel - 1 Bed Plus Den + 1 Bath in the Heart;2,169.00;Ottawa < 2 hours ago;;Limited Time Welcome Incentives! CALL NOW! OPEN HOUSE! Every Weekend in July from 10am - 4pm! STORY of Rideau & Chapel - Apply today! - Limited Time Welcome Incentives on Selected Suites Up to 1 ... SEE THE REST, RENT THE BEST!
2;Roncesvalles Bachelor Apartment for Rent - 55 Triller Avenue;1,972.00;Toronto < 10 hours ago;;Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (416)786-5191Virtual Open House: View our units by clicking ...
3;1 Bedroom Apartment for Rent - 100 Gloucester St and 105 Isabell;2,215.00;Toronto < 7 hours ago;;Gloucester and Mulock Apartments, 100 Gloucester St and 105 Isabella Street is located in the The Village neighborhood of Toronto. These buildings amenities including garage parking, onsite ...
4;2-Bedroom Basement Apartment in Vanier $2100/month;2,100.00;Ottawa 28/07/2023;;**Apartment Features** - 2 bedrooms & 1 bathroom - Open concept kitchen, dining, living area - New kitchen cabinetry and countertops - Entrance closet / in-unit laundry - Apartment accessed through ...
5;Studio Basement Apartment;1,000.00;Mississauga / Peel Region < 1 minute ago;;"Studio Basement Apartment (Seperate Entrance) ""Single""male only No pets Parking Laundry Job Letter, Police Report and Reference Required"
6;Newly Renovated (1) One Bedroom Apartment - $1,719!;1,719.00;Ottawa < 1 minute ago;;Welcome to the Jasper! Master the art of spacious living in a renovated Jasper 1 bedroom apartment. With modern design features throughout, this is the apartment you'll want to come home to. Youll ... Newly renovated 1 & 2 bedroom apartments located close to transit, Kanata Tech Park and DND.
7;Huge Two (2) Bedroom Apartment in Ottawa – Starting $2,566!;2,566.00;Ottawa < 1 minute ago;;Welcome to the Orion at Accora Village! This fully renovated, high-end two (2) bedroom apartment has been thoughtfully designed to enhance your lifestyle. A spacious apartment with modern finishes, ... Get Moving on these Modern Apartments. Stylish studio, 1 and 2 bedroom apartments in Ottawa's west end. Close to 416/417, Kanata Tech Park and DND Carling.
8;Renovated Three (3) Bedroom Apartment - $2,443!;2,443.00;Ottawa < 1 minute ago;;The fully-renovated Coral apartment features four stainless steel appliances, granite counter tops, luxury flooring, a large private balcony and on-site laundry. The Coral apartment by Accora Village ... Newly renovated 1, 2 & 3 bedroom apartments in Ottawa's west end! Close to 416/417, Kanata Tech Park and DND Carling.
9;Large One (1) Bedroom Apartment at Accora Village - $2,067!;2,067.00;Ottawa < 1 minute ago;;Welcome to the Cobalt at Accora Village! A fully renovated, spacious one (1) bedroom apartment with five stainless steel appliances, granite counter tops and luxury flooring. Its easy to live a green ... Beautifully renovated studio, 1 & 2 bedroom apartments in west end Ottawa. Close to 416/417, Kanata Tech Park and DND Carling.
10;Large Modern One (1) Bedroom Apartment – Starting at $2,025!;2,025.00;Ottawa < 1 minute ago;;Welcome to the Orion at Accora Village! Walk into your fully-renovated Orion 1 bedroom and kick off your shoes. Its time to relax in this spacious, high-end, open-concept apartment. Situated in the ... Get Moving on these Modern Apartments. Stylish studio, 1 and 2 bedroom apartments in Ottawa's west end. Close to 416/417, Kanata Tech Park and DND Carling.
11;Renovated Three (3) Bedroom Garden Home - $2,912!;2,912.00;Ottawa < 1 minute ago;;Our newly-renovated, spacious Garden Homes are located in the west-end community of Accora Village in Ottawa. You'll enjoy the modern kitchen, air conditioning, luxury flooring, ample storage, and ... Renovated 2 & 3 bedroom garden homes in Ottawa's west end.
12;Newly-renovated Three (3) Bedroom Townhome - $2,680!;2,680.00;Ottawa < 1 minute ago;;A spacious and updated three (3) bedroom townhome in the west-end community of Accora Village with central air conditioning, private backyard and parking. You'll enjoy the modern kitchen, luxury ... Renovated 2 & 3 bedroom townhomes in Ottawa's west end.
